project_name,notice_type,region,notice_date,bid_description,sector_description,link
sadc regional statistics project,contract award,none,26-jun-2024,recrutement de deux stagiaires en passation de marché,"['central government (central agencies)', 'ict infrastructure']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297982
harmonizing and improving statistics in west and central africa - series of projects 1 (hiswaca - so,contract award,none,26-jun-2024,travaux de cloisonnement des locaux de l'unité de gestion du projet  (ugp),"['other public administration', 'ict services']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297980
access to finance & economic opportunities project – mais oportunidades,request for expression of interest,mozambique,26-jun-2024,assessment and review of construction legislation of mozambique - mophrh,"['capital markets', 'public administration - financial sector', 'sub-national government']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297979
climate adaptation and resilience for south asia,invitation for bids,thailand,26-jun-2024,physical server - regional,"['other public administration', 'sub-national government']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297984
philippine rural development project,contract award,none,26-jun-2024,writer,"['fisheries', 'other transportation', 'irrigation and drainage', 'agricultural markets, commercialization and agri-business', 'fisheries', 'other agriculture, fishing and forestry', 'other transportation', 'irrigation and drainage', 'agricultural markets, commercialization and agri-business', 'other agriculture, fishing and forestry']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297978
uganda covid-19 response and emergency preparedness project,contract award,none,26-jun-2024,provision of consultancy services for construction supervision for the construction of 14 health facilities in refugee hosting districts under 2 lots,"['public administration - health', 'health', 'health facilities and construction']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297981
afr ri-southern africa tuberculosis and health systems support project,contract award,none,26-jun-2024,supply and delivery of incinerators,"['health', 'mining', 'public administration - energy and extractives', 'public administration - health']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297977
regional sahel pastoralism support project ii,contract award,none,26-jun-2024,mobilisation d'une expertise pour l’appui à l’obtention des documents d’état civil y compris les frais acquisition,"['social protection', 'workforce development and vocational education', 'livestock', 'public administration - agriculture, fishing & forestry', 'other water supply, sanitation and waste management']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297975
higher education for economic transformation project,contract award,none,26-jun-2024,procurement of hardware and saver equipment for the digital library to enhance ict infrastructure on and off-campus,"['tertiary education', 'public administration - education', 'workforce development and vocational education']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297976
municipal and agglomerations support program,contract award,none,26-jun-2024,recrutement d’un consultant iindividuel pour la vérification indépendante des ild du programme et de la performance des structures,['sub-national government'],https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297974
tourism diversification and resilience in the gambia,contract award,none,26-jun-2024,short-term capacity building training for informal tourism sector operators and hotel workers,"['tourism', 'public administration - industry, trade and services']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297971
sadc regional statistics project,contract award,none,26-jun-2024,recrutement d'un cabinet en charge d'appui et assistance à la comptabilité,"['central government (central agencies)', 'ict infrastructure']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297973
nigeria for women project,contract award,none,26-jun-2024,construction of cassava processing shed and other works for three (3 no.)  cassava processing collectives in onna l.g.a in akwa ibom state,"['social protection', 'other industry, trade and services', 'other agriculture, fishing and forestry', 'other public administration']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297970
djibouti health system strengthening,request for expression of interest,djibouti,26-jun-2024,recruter un bureau d'étude pour(i)établir des normes d'aménagement (ii)développer la définition de l'étendue(iii)élaborer un plan de rénovation détaillés chiffres pour chaque fosa sélectionné y compris la maison attente(iv) supervision etsuivi des travaux,"['health', 'public administration - health']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297972
second water sector institutional development project,contract award,none,26-jun-2024,"procurement of it equipment for epal  (computers, printers, photocopier, projector)","['water supply', 'sanitation', 'public administration - water, sanitation and waste management']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297969
west africa food system resilience program (fsrp),contract award,none,26-jun-2024,acquisition d'une station météorologique automatique de type pulsonic,"['agricultural extension, research, and other support activities', 'other industry, trade and services', 'public administration - agriculture, fishing & forestry']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297967
southern africa trade and connectivity project,request for expression of interest,malawi,26-jun-2024,consulting services for feasibility studies of bus terminals for lilongwe and blantyre under public private partnership commission,"['public administration - information and communications technologies', 'trade', 'rural and inter-urban roads', 'agricultural markets, commercialization and agri-business']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297968
southern africa trade and connectivity project,contract award,none,26-jun-2024,recruitment of infrastructure engineer specialist for the southern africa trade and connectivity,"['public administration - information and communications technologies', 'trade', 'rural and inter-urban roads', 'agricultural markets, commercialization and agri-business']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297966
invigorating local market & competition in public procurement through e- government marketplace,contract award,none,26-jun-2024,consultancy to develop e-gm system specifications,"['central government (central agencies)', 'ict services']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297965
accelerating governance institutional reforms for sustainable services (agir) in roc,contract award,none,26-jun-2024,"recrutement d’un consultant individuel international, ali issoufou zakari, expert en conduite de changement pour accompagner le ministère de l'economie et des finances (mef) dans les activités de de stabilisation de la solution e-tax","['central government (central agencies)', 'health', 'other education']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297964
resiland ca+ program: tajikistan resilient landscape restoration project,contract award,none,26-jun-2024,"agrarian goods and equipment for pasture user unions in ayni, gornii matcha districts, penjikent city of sughd and qubadien, shaartuz, n.khusrav districts of khatlon regions in 4 lots","['other agriculture, fishing and forestry', 'public administration - agriculture, fishing & forestry', 'forestry', 'livestock']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297963
resiland ca+ program: tajikistan resilient landscape restoration project,contract award,none,26-jun-2024,"agrarian goods and equipment for pasture user unions in ayni, gornii matcha districts, penjikent city of sughd and qubadien, shaartuz, n.khusrav districts of khatlon regions in 4 lots","['other agriculture, fishing and forestry', 'public administration - agriculture, fishing & forestry', 'forestry', 'livestock']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297962
resiland ca+ program: tajikistan resilient landscape restoration project,contract award,none,26-jun-2024,"agrarian goods and equipment for pasture user unions in ayni, gornii matcha districts, penjikent city of sughd and qubadien, shaartuz, n.khusrav districts of khatlon regions in 4 lots","['other agriculture, fishing and forestry', 'public administration - agriculture, fishing & forestry', 'forestry', 'livestock']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297961
kyrgyz renewable energy development project,general procurement notice,kyrgyz republic,26-jun-2024,none,"['renewable energy hydro', 'public administration - energy and extractives', 'renewable energy solar']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297960
ibadan urban flood management project,contract award,none,26-jun-2024,consultancy service for the preparation of impact evaluation report (ier),"['other water supply, sanitation and waste management', 'other transportation', 'other public administration', 'public administration - water, sanitation and waste management', 'other water supply, sanitation and waste management', 'other transportation', 'other public administration', 'public administration - water, sanitation and waste management']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297958
niger: smart villages for rural growth and digital inclusion,contract award,none,26-jun-2024,recrutement d'une assistante au spécialiste en finance numérique,"['ict infrastructure', 'public administration - information and communications technologies', 'ict services']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297959
east africa skills for transformation and regional integration project (eastrip),contract award,none,26-jun-2024,supply of van for eastrip,"['workforce development and vocational education', 'public administration - education']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297957
integrated infrastructure development for national tourism strategic areas (indonesia tourism develo,contract award,none,26-jun-2024,"the development of spam keraton liya (kspn wakatobi) is expected to be able to improve the quality and accsess to drinking water needs for services, infrastructure and tourism activities.",['tourism'],https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297956
ibadan urban flood management project,contract award,none,26-jun-2024,consultancy service for environmental and social audit,"['other water supply, sanitation and waste management', 'other transportation', 'other public administration', 'public administration - water, sanitation and waste management', 'other water supply, sanitation and waste management', 'other transportation', 'other public administration', 'public administration - water, sanitation and waste management']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297954
cabo verde human capital project,invitation for bids,cabo verde,26-jun-2024,rehabilitation works on houses in a s filipe castelão e ponta de agua,"['social protection', 'secondary education', 'workforce development and vocational education', 'public administration - education', 'primary education']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297955
climate resilience multi-phase programmatic approach,contract award,none,26-jun-2024,concrete lining from 2+100m to 2+150m of left bank main canal of kinigama anicut,"['other water supply, sanitation and waste management', 'other public administration', 'ict infrastructure']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297953
economic linkages for diversification,request for expression of interest,mozambique,26-jun-2024,contracting a mice consultant to support the operationalization of the mozambique convention bureau,"['other industry, trade and services', 'public administration - industry, trade and services']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297952
afr ri-regional rusumo falls hydroelectric project,invitation for bids,rwanda,26-jun-2024,"construction of houses for the relocated 73 families at kiyanzi site (including access roads, parking yards, market, shops etc) and construction of houses for relocated 7 families at their own plots for people affected by blasting on rwanda side","['renewable energy hydro', 'social protection', 'renewable energy hydro', 'social protection']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297948
accelerating blue economy development in the kingdom of morocco,contract award,none,26-jun-2024,recrutement d'un consultant expert en économie bleue,"['other public administration', 'fisheries', 'public administration - agriculture, fishing & forestry']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297951
djibouti health system strengthening,request for expression of interest,djibouti,26-jun-2024,recruter bureau d'étude (i)établir des normes d'aménagement(ii)développer la définition de l'étendu coût estimé(iii)l'élaboration d’un plan de rénovation détaillé chiffrés  pour la rénovation des entrepôts de la camme(iv)la supervision etsuivi des travaux,"['health', 'public administration - health']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297949
nigeria for women project,contract award,none,26-jun-2024,"constr of 2nd batch of maiyama 4 nos g/nut mills, supply and instal of oil extrac and 1 no. dairy proc workshed, supply and instal of machines maiyama;(1.) wani cigaba gt (2.) alheri yazo maiya 'a'(3.)  hamdala ga women (4) sawaba(5) miyetti allah dairy","['social protection', 'other industry, trade and services', 'other agriculture, fishing and forestry', 'other public administration']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297946
nigeria for women project,contract award,none,26-jun-2024,"constr of 3rd batch of maiyama  4 nos g/nut mills, supply and instal of oil extrac and 1 no. dairy proc workshed, supply and instal of machines maiyama; (3.)  cigaban kowa women g/nut proc coll., dogon daji (4) dogaro ga allah g/nut proc coll., kamba","['social protection', 'other industry, trade and services', 'other agriculture, fishing and forestry', 'other public administration']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297947
west africa food system resilience program (fsrp),contract award,none,26-jun-2024,recrutement de consultant pour la cartographie des acteurs de la filière riz au togo et l'appui à la mise en place de la section nationale de l'observatoire,"['agricultural extension, research, and other support activities', 'other industry, trade and services', 'public administration - agriculture, fishing & forestry']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297945
sadc regional statistics project,contract award,none,26-jun-2024,recrutement de deux stagiaires en passation de marché,"['central government (central agencies)', 'ict infrastructure']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297950
resiland ca+ program: tajikistan resilient landscape restoration project,contract award,none,26-jun-2024,"agrarian goods and equipment for pasture user unions in ayni, gornii matcha districts, penjikent city of sughd and qubadien, shaartuz, n.khusrav districts of khatlon regions in 4 lots","['other agriculture, fishing and forestry', 'public administration - agriculture, fishing & forestry', 'forestry', 'livestock']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297944
accelerating governance institutional reforms for sustainable services (agir) in roc,contract award,none,26-jun-2024,recrutement d’un consultant individuel international pour accompagner le ministère de l'économie et des finances (mef) et l'ucp dans l'execution de la feuille de route et le suivi de la mise en oeuvre des travaux de stabilisation de e-tax,"['central government (central agencies)', 'health', 'other education']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297943
agro-climatic resilience in semi-arid landscapes (acresal),contract award,none,26-jun-2024,"procurement and installation of ict equipment for ministries of water resources, environment, climate change, agriculture and food security","['forestry', 'public administration - agriculture, fishing & forestry']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297942
national hydrology project,invitation for bids,india,26-jun-2024,procurement of printers,"['other water supply, sanitation and waste management', 'ict services', 'public administration - water, sanitation and waste management', 'public administration - agriculture, fishing & forestry']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297940
ethiopia digital foundations project,contract award,none,26-jun-2024,"selecting a consultant firm that supports eca in transferring of responsibility for the .et domain name management from ethio telecom to eca, and managing the .gov.et sub-domain (by mint)","['ict infrastructure', 'public administration - education', 'public administration - information and communications technologies', 'ict services']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297941
nigeria for women project,contract award,none,26-jun-2024,"construction of cassava processing shed, drilling of borehole and other works for ten(10nos) collectives in obingwa lga of abia state.","['social protection', 'other industry, trade and services', 'other agriculture, fishing and forestry', 'other public administration']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297939
congo digital acceleration project,contract award,none,26-jun-2024,"lan mda -connectivité lan des ministères, départements et agences (mda)","['public administration - information and communications technologies', 'ict infrastructure', 'ict services']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297938
urban productive safety net and jobs project,contract award,none,26-jun-2024,procurement of  industrial and finishing construction materials,"['social protection', 'public administration - social protection', 'workforce development and vocational education']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297936
program to accelerate agrarian reform (one map project),contract award,none,26-jun-2024,strengthening of local land offices (renovation of archive buildings) construction activities  temanggung district - central java fy 2024,"['other agriculture, fishing and forestry', 'public administration - agriculture, fishing & forestry']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297934
global environment facility indonesia sustainable cities impact project,request for expression of interest,indonesia,26-jun-2024,environmental engineering specialist,"['sub-national government', 'waste management']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297935
climate smart irrigated agriculture project,contract award,none,26-jun-2024,"purchasing of 1 nos. of rain shelter, 8400 parachute trays 16 nos. of insect proof net-1/4 ac, 14 nos. poly mulch-1/4 ac, 14 nos. of drip irrigation system-1/4 ac with fertigation and 4 nos of sprinkler irrigation system -1/4 ac for north central province","['agricultural markets, commercialization and agri-business', 'ict services', 'irrigation and drainage', 'public administration - agriculture, fishing & forestry', 'agricultural extension, research, and other support activities']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297933
integrated project for source sustainability and climate resilient rain-fed agriculture in himachal,contract award,none,26-jun-2024,contour trenching out side plantation area during 2023-24  under apo  ghumarwin for the year 2023-24.,"['forestry', 'livestock', 'irrigation and drainage', 'agricultural extension, research, and other support activities', 'public administration - agriculture, fishing & forestry', 'public administration - water, sanitation and waste management', 'other water supply, sanitation and waste management']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297931
kenya covid-19 health emergency response project,contract award,none,26-jun-2024,procurement of laundry equipment for use in mama lucy hospital,"['health facilities and construction', 'public administration - health']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297929
urban productive safety net and jobs project,contract award,none,26-jun-2024,procurement of local construction materials,"['social protection', 'public administration - social protection', 'workforce development and vocational education']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297932
kenya covid-19 health emergency response project,contract award,none,26-jun-2024,procure 144 blood donor coaches,"['health facilities and construction', 'public administration - health']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297928
accelerating governance institutional reforms for sustainable services (agir) in roc,request for expression of interest,"congo, republic of",26-jun-2024,recrutement d'un consultant international individuel pour l'appui à la cour des comptes et de discipline budgétaire (ccdb) pour la formation et la réalisation des missions d'audits pilotes,"['central government (central agencies)', 'health', 'other education']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297927
climate smart irrigated agriculture project,contract award,none,26-jun-2024,"purchasing of 1 nos. of rain shelter, 8400 parachute trays 16 nos. of insect proof net-1/4 ac, 14 nos. poly mulch-1/4 ac, 14 nos. of drip irrigation system-1/4 ac with fertigation and 4 nos of sprinkler irrigation system -1/4 ac for north central province","['agricultural markets, commercialization and agri-business', 'ict services', 'irrigation and drainage', 'public administration - agriculture, fishing & forestry', 'agricultural extension, research, and other support activities']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297926
casa1000 community support project - kyrgyz republic,invitation for bids,kyrgyz republic,26-jun-2024,borehole drilling in kok-talaa village of kadamjai rayon of batken oblast,"['energy transmission and distribution', 'sub-national government', 'early childhood education', 'other agriculture, fishing and forestry', 'other water supply, sanitation and waste management']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297925
burkina faso emergency local development and resilience project,contract award,none,26-jun-2024,travaux de normalisation du complexe scolaire tambella b (2 blocs de 03 salles de classe+latrine scolaire pmr+latrine enseignant+cantine),"['public administration - social protection', 'social protection', 'rural and inter-urban roads', 'sub-national government', 'agricultural markets, commercialization and agri-business']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297923
agriculture value chain development project (icare),request for expression of interest,indonesia,26-jun-2024,field facilitator (10 personnel),"['agricultural markets, commercialization and agri-business', 'agricultural extension, research, and other support activities']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297921
balochistan human capital investment project,invitation for bids,pakistan,26-jun-2024,family planning satellite clinics,"['health', 'secondary education', 'primary education', 'public administration - education', 'early childhood education', 'health facilities and construction', 'public administration - health']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297922
burkina faso emergency local development and resilience project,contract award,none,26-jun-2024,travaux de normalisation du csps de nakalbo,"['public administration - social protection', 'social protection', 'rural and inter-urban roads', 'sub-national government', 'agricultural markets, commercialization and agri-business']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297924
coastal resilience and sustainable tourism project,request for expression of interest,sao tome and principe,26-jun-2024,elaboração de manual de subvenções comparticipadas,[],https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297920
climate smart irrigated agriculture project,contract award,none,26-jun-2024,"purchasing of 1 nos. of rain shelter, 8400 parachute trays 16 nos. of insect proof net-1/4 ac, 14 nos. poly mulch-1/4 ac, 14 nos. of drip irrigation system-1/4 ac with fertigation and 4 nos of sprinkler irrigation system -1/4 ac for north central province","['agricultural markets, commercialization and agri-business', 'ict services', 'irrigation and drainage', 'public administration - agriculture, fishing & forestry', 'agricultural extension, research, and other support activities']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297919
id-geothermal energy upstream development,invitation for bids,indonesia,26-jun-2024,"civil detail engineering design, construction and support jailolo",['renewable energy geothermal'],https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297918
nigeria for women project,contract award,none,26-jun-2024,"constr of 3rd batch of ngaski 5 nos rice milling work shed, supply and instal of milling, for the nfwp proc, ngaski lga(1.) garkuwan mata rice g/tagwaye (2.) nagari women, wara (3.) hasken mata rice wara (4.) tallafin mata women kwanga, (5) libata-zumunch","['social protection', 'other industry, trade and services', 'other agriculture, fishing and forestry', 'other public administration']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297915
integrated project for source sustainability and climate resilient rain-fed agriculture in himachal,contract award,none,26-jun-2024,renovation of water bauries at 8 different location of different gps under apo unit paonta of sirmaur distt. during 2023-24,"['forestry', 'livestock', 'irrigation and drainage', 'agricultural extension, research, and other support activities', 'public administration - agriculture, fishing & forestry', 'public administration - water, sanitation and waste management', 'other water supply, sanitation and waste management']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297913
integrated project for source sustainability and climate resilient rain-fed agriculture in himachal,contract award,none,26-jun-2024,renovation of water bauries at 8 different location of different gps under apo unit paonta of sirmaur distt. during 2023-24,"['forestry', 'livestock', 'irrigation and drainage', 'agricultural extension, research, and other support activities', 'public administration - agriculture, fishing & forestry', 'public administration - water, sanitation and waste management', 'other water supply, sanitation and waste management']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297912
sri lanka agriculture sector modernization project,contract award,none,26-jun-2024,"supply & delivery of 09 nos. portable bag closers for (cfpu) for dry chili production program & banana cultivation in north central, northern & central provinces","['agricultural markets, commercialization and agri-business', 'agricultural extension, research, and other support activities', 'other agriculture, fishing and forestry', 'public administration - agriculture, fishing & forestry', 'irrigation and drainage', 'agricultural markets, commercialization and agri-business', 'agricultural extension, research, and other support activities', 'other agriculture, fishing and forestry', 'public administration - agriculture, fishing & forestry', 'irrigation and drainage']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297914
senegal covid-19 response project,contract award,none,26-jun-2024,sélection d'une école pour la formation de 25 boursiers en formation en puériculture par entente directe,"['public administration - health', 'health', 'social protection']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297916
casa1000 community support project - kyrgyz republic,invitation for bids,kyrgyz republic,26-jun-2024,procurement of office equipment and furniture for karasuu village of leilek rayon of batken oblast,"['energy transmission and distribution', 'sub-national government', 'early childhood education', 'other agriculture, fishing and forestry', 'other water supply, sanitation and waste management']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297917
integrated project for source sustainability and climate resilient rain-fed agriculture in himachal,contract award,none,26-jun-2024,renovation of water bauries at 8 different location of different gps under apo unit paonta of sirmaur distt. during 2023-24,"['forestry', 'livestock', 'irrigation and drainage', 'agricultural extension, research, and other support activities', 'public administration - agriculture, fishing & forestry', 'public administration - water, sanitation and waste management', 'other water supply, sanitation and waste management']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297911
climate smart irrigated agriculture project,contract award,none,26-jun-2024,"purchasing of 1 nos. of rain shelter, 8400 parachute trays 16 nos. of insect proof net-1/4 ac, 14 nos. poly mulch-1/4 ac, 14 nos. of drip irrigation system-1/4 ac with fertigation and 4 nos of sprinkler irrigation system -1/4 ac for north central province","['agricultural markets, commercialization and agri-business', 'ict services', 'irrigation and drainage', 'public administration - agriculture, fishing & forestry', 'agricultural extension, research, and other support activities']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297904
climate resilience multi-phase programmatic approach,contract award,none,26-jun-2024,improvements to kattaparichchan drainange canal from stn 1+050 to stn 2+200 in muthur division,"['other water supply, sanitation and waste management', 'other public administration', 'ict infrastructure']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297909
burkina faso emergency local development and resilience project,contract award,none,26-jun-2024,travaux de normalisation du csps de ligdi-malguem,"['public administration - social protection', 'social protection', 'rural and inter-urban roads', 'sub-national government', 'agricultural markets, commercialization and agri-business']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297907
burkina faso emergency local development and resilience project,contract award,none,26-jun-2024,travaux de normalisation du lycee municipal de koupela (administration+ 1 bloc de 04 salles de classe+latrine scolaire pmr+latrine enseignant),"['public administration - social protection', 'social protection', 'rural and inter-urban roads', 'sub-national government', 'agricultural markets, commercialization and agri-business']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297908
public finance management modernization project 2,contract award,none,26-jun-2024,"the development of training program to improve the skills of personnel involved in the public financial management, the training modules on updated planning and execution of the budget processes, the training modules for distance learning","['central government (central agencies)', 'public administration - financial sector']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297903
burkina faso emergency local development and resilience project,contract award,none,26-jun-2024,travaux de normalisation du complexe scolaire koupela sud b et c (2 blocs de 03 salles de classe+latrine scolaire pmr+latrine enseignant+cantine),"['public administration - social protection', 'social protection', 'rural and inter-urban roads', 'sub-national government', 'agricultural markets, commercialization and agri-business']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297906
uganda covid-19 response and emergency preparedness project,contract award,none,26-jun-2024,"supply of basic medical equipment (weighing scales, bp machines, stethoscopes, glucometers, blood glucose strips and neonatal resuscitation) for selected health facilities","['public administration - health', 'health', 'health facilities and construction']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297910
nigeria for women project,contract award,none,26-jun-2024,supply and installation of two(2nos) cassava milling machines with equipment and eight (8nos) oil palm processing equipment for ten(10nos) collectives in obingwa lga of abia state (batch b).,"['social protection', 'other industry, trade and services', 'other agriculture, fishing and forestry', 'other public administration']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297905
philippine rural development project,contract award,none,26-jun-2024,planning officer,"['fisheries', 'other transportation', 'irrigation and drainage', 'agricultural markets, commercialization and agri-business', 'fisheries', 'other agriculture, fishing and forestry', 'other transportation', 'irrigation and drainage', 'agricultural markets, commercialization and agri-business', 'other agriculture, fishing and forestry']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297902
comoros interisland connectivity project,invitation for bids,comoros,26-jun-2024,acquisition d’un véhicule pour le projet à mohéli,"['ports/waterways', 'public administration - transportation']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297900
burkina faso emergency local development and resilience project,contract award,none,26-jun-2024,travaux de normalisation du complexe scolaire naftenga b (1 bloc de 03 salles de classe+latrine scolaire pmr+latrine enseignant+cantine),"['public administration - social protection', 'social protection', 'rural and inter-urban roads', 'sub-national government', 'agricultural markets, commercialization and agri-business']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297899
west bengal accelerated development of minor irrigation project - phase ii,contract award,none,26-jun-2024,procurement of consulting services as support organization in malda district under wbadmip phase ii,"['agricultural extension, research, and other support activities', 'irrigation and drainage', 'public administration - agriculture, fishing & forestry']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297901
climate smart irrigated agriculture project,contract award,none,26-jun-2024,"purchasing of 1 nos. of rain shelter, 8400 parachute trays 16 nos. of insect proof net-1/4 ac, 14 nos. poly mulch-1/4 ac, 14 nos. of drip irrigation system-1/4 ac with fertigation and 4 nos of sprinkler irrigation system -1/4 ac for north central province","['agricultural markets, commercialization and agri-business', 'ict services', 'irrigation and drainage', 'public administration - agriculture, fishing & forestry', 'agricultural extension, research, and other support activities']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297898
"georgia resilient agriculture, irrigation, and land project",contract award,none,26-jun-2024,correction of defects on kvemo samgori g1 - g32 onfarm network,"['other agriculture, fishing and forestry', 'irrigation and drainage', 'agricultural extension, research, and other support activities', 'public administration - agriculture, fishing & forestry']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297896
fsm skills and employability enhancement project,contract award,none,26-jun-2024,performance grant - pohnpei island central school equipment,"['workforce development and vocational education', 'social protection', 'public administration - education']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297895
integrated project for source sustainability and climate resilient rain-fed agriculture in himachal,contract award,none,26-jun-2024,renovation of water bauries at 8 different location of different gps under apo unit paonta of sirmaur distt. during 2023-24,"['forestry', 'livestock', 'irrigation and drainage', 'agricultural extension, research, and other support activities', 'public administration - agriculture, fishing & forestry', 'public administration - water, sanitation and waste management', 'other water supply, sanitation and waste management']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297897
integrated infrastructure development for national tourism strategic areas (indonesia tourism develo,invitation for bids,indonesia,26-jun-2024,pembangunan tpst kabupaten bantul,['tourism'],https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297894
sri lanka agriculture sector modernization project,contract award,none,26-jun-2024,supply and delivery of 3.5 kgs of michhy 1 chili seeds for anuradhapura chili cluster-phase 2,"['agricultural markets, commercialization and agri-business', 'agricultural extension, research, and other support activities', 'other agriculture, fishing and forestry', 'public administration - agriculture, fishing & forestry', 'irrigation and drainage', 'agricultural markets, commercialization and agri-business', 'agricultural extension, research, and other support activities', 'other agriculture, fishing and forestry', 'public administration - agriculture, fishing & forestry', 'irrigation and drainage']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297893
bhutan: covid-19 emergency response and health systems preparedness project,contract award,none,26-jun-2024,procurement of medical equipment -package 18- operating table (electrohydraulic),"['health', 'public administration - health', 'health facilities and construction']",https://projects.worldbank.org/en/projects-operations/procurement-detail/op00297892
