project_name,notice_type,region,notice_date,bid_description,sector_description
Digital and Energy Connectivity for Inclusion in Madagascar Project,Request for Expression of Interest,Eastern And Southern Africa,14-Jun-2024,Responsable Environnemental et Social du projet DECIM,"Public Administration - Energy and Extractives,Renewable Energy Solar,Renewable Energy Hydro,ICT Services,ICT Infrastructure"
Ghana Productive Safety Net Project 2,Contract Award,Western And Central Africa,14-Jun-2024,Rehabilitation of Small Earth Dam at Tahiru Akura,"Social Protection,Public Administration - Social Protection,Agricultural Extension, Research, and Other Support Activities"
Integrated Project for Source Sustainability and Climate Resilient Rain-fed Agriculture in Himachal,Contract Award,South Asia,14-Jun-2024,Construction of  secondary storage Tank for Gravity Scheme involving approx. 10 different locations under APO Chamba,"Forestry,Livestock,Irrigation and Drainage,Agricultural Extension, Research, and Other Support Activities,Public Administration - Agriculture, Fishing & Forestry,Public Administration - Water, Sanitation and Waste Management,Other Water Supply, Sanitation and Waste Management"
Climate Adaptation and Resilience for South Asia,Request for Expression of Interest,South Asia,14-Jun-2024,Project Assistant - Nepal,"Other Public Administration,Sub-National Government"
Northern Mozambique Rural Resilience Project,Request for Expression of Interest,Eastern And Southern Africa,14-Jun-2024,Gender Issues Specialist,"Forestry,Sub-National Government,Agricultural Extension, Research, and Other Support Activities,Social Protection,Fisheries"
Integrated Project for Source Sustainability and Climate Resilient Rain-fed Agriculture in Himachal,Contract Award,South Asia,14-Jun-2024,"Construction of secondary storage Tank for Gravity Scheme involving approx. 5 different locations UNDER DPO, CHAMBA to be executed through contractors on competitive basis.","Forestry,Livestock,Irrigation and Drainage,Agricultural Extension, Research, and Other Support Activities,Public Administration - Agriculture, Fishing & Forestry,Public Administration - Water, Sanitation and Waste Management,Other Water Supply, Sanitation and Waste Management"
Integrated Project for Source Sustainability and Climate Resilient Rain-fed Agriculture in Himachal,Contract Award,South Asia,14-Jun-2024,"Construction of secondary storage Tank for Gravity Scheme involving approx. 5 different locations UNDER DPO, CHAMBA to be executed through contractors on competitive basis.","Forestry,Livestock,Irrigation and Drainage,Agricultural Extension, Research, and Other Support Activities,Public Administration - Agriculture, Fishing & Forestry,Public Administration - Water, Sanitation and Waste Management,Other Water Supply, Sanitation and Waste Management"
MSME Competitiveness Project,Request for Expression of Interest,Europe And Central Asia,14-Jun-2024,Consultancy support for the implementation of the metrology activities under the National Quality Infrastructure sub-component of the MSME project,"ICT Services,Other Industry, Trade and Services,Public Administration - Industry, Trade and Services,Banking Institutions,Public Administration - Information and Communications Technologies"
Integrated Project for Source Sustainability and Climate Resilient Rain-fed Agriculture in Himachal,Contract Award,South Asia,14-Jun-2024,"Construction of secondary storage Tank for Gravity Scheme involving approx. 5 different locations UNDER DPO, CHAMBA to be executed through contractors on competitive basis.","Forestry,Livestock,Irrigation and Drainage,Agricultural Extension, Research, and Other Support Activities,Public Administration - Agriculture, Fishing & Forestry,Public Administration - Water, Sanitation and Waste Management,Other Water Supply, Sanitation and Waste Management"
Nigeria For Women Project,Contract Award,Western And Central Africa,14-Jun-2024,"Batch A Construction of Groundnut  Processing site, drilling of borehole, and other works for (4No) collectives in Takum L.G.A Taraba State. Lot 1-4","Social Protection,Other Industry, Trade and Services,Other Agriculture, Fishing and Forestry,Other Public Administration"
Nigeria For Women Project,Contract Award,Western And Central Africa,14-Jun-2024,"Batch A Construction of Groundnut  Processing site, drilling of borehole, and other works for (4No) collectives in Takum L.G.A Taraba State. Lot 1-4","Social Protection,Other Industry, Trade and Services,Other Agriculture, Fishing and Forestry,Other Public Administration"
"Health Emergency Preparedness, Response and Resilience Program Using the Multiphase Programmatic App",Request for Expression of Interest,Eastern And Southern Africa,14-Jun-2024,Hiring a Monitoring and Evaluation Technician,"Health,Public Administration - Health"
Harmonizing and Improving Statistics in West and Central Africa - Series of Projects 1 (HISWACA - SO,Contract Award,Western And Central Africa,14-Jun-2024,Acquisition d'un véhicule léger,"Other Public Administration,ICT Services"
Nigeria For Women Project,Contract Award,Western And Central Africa,14-Jun-2024,"Batch A Construction of Groundnut  Processing site, drilling of borehole, and other works for (4No) collectives in Takum L.G.A Taraba State. Lot 1-4","Social Protection,Other Industry, Trade and Services,Other Agriculture, Fishing and Forestry,Other Public Administration"
Ethiopia Resilient Landscapes and Livelihoods Project,Contract Award,Eastern And Southern Africa,14-Jun-2024,Procurement of 39 Desktop computers for 13 woreda damaged  information centers for the purpose of rehabilitation.,"Agricultural markets, commercialization and agri-business,Forestry,Other Agriculture, Fishing and Forestry,Public Administration - Agriculture, Fishing & Forestry,Agricultural Extension, Research, and Other Support Activities"
Emergency Medical Services Project,Contract Award,Europe And Central Asia,14-Jun-2024,To purchase simulation equipment ( 1.anesthesiology and resuscitation equipment and 2.cardiac surgery simulator) for the training center of RSCEMA,"Health,Health Facilities and Construction,Public Administration - Health"
Emergency Medical Services Project,Contract Award,Europe And Central Asia,14-Jun-2024,To purchase simulation equipment ( 1.anesthesiology and resuscitation equipment and 2.cardiac surgery simulator) for the training center of RSCEMA,"Health,Health Facilities and Construction,Public Administration - Health"
Sustainable and Inclusive Secondary Cities Project,Request for Expression of Interest,Western And Central Africa,14-Jun-2024,"Élaboration des études techniques détaillées d’aménagement des voiries des villes de BOUNA, OUANGOLODOUGOU ET TENGRELA",Sub-National Government
Nigeria For Women Project,Contract Award,Western And Central Africa,14-Jun-2024,"Phase 1- Construction of Groundnut Processing Site, drilling of borehole, and other works for (5No.) collectives in Zing L.G.A in Taraba State. Lot 1-5","Social Protection,Other Industry, Trade and Services,Other Agriculture, Fishing and Forestry,Other Public Administration"
Nigeria For Women Project,Contract Award,Western And Central Africa,14-Jun-2024,"Phase 1- Construction of Groundnut Processing Site, drilling of borehole, and other works for (5No.) collectives in Zing L.G.A in Taraba State. Lot 1-5","Social Protection,Other Industry, Trade and Services,Other Agriculture, Fishing and Forestry,Other Public Administration"
Integrated Project for Source Sustainability and Climate Resilient Rain-fed Agriculture in Himachal,Contract Award,South Asia,14-Jun-2024,Construction of  secondary storage Tank for Gravity Scheme involving approx. 10 different locations under APO Chamba,"Forestry,Livestock,Irrigation and Drainage,Agricultural Extension, Research, and Other Support Activities,Public Administration - Agriculture, Fishing & Forestry,Public Administration - Water, Sanitation and Waste Management,Other Water Supply, Sanitation and Waste Management"
Integrated Project for Source Sustainability and Climate Resilient Rain-fed Agriculture in Himachal,Contract Award,South Asia,14-Jun-2024,Construction of  secondary storage Tank for Gravity Scheme involving approx. 10 different locations under APO Chamba,"Forestry,Livestock,Irrigation and Drainage,Agricultural Extension, Research, and Other Support Activities,Public Administration - Agriculture, Fishing & Forestry,Public Administration - Water, Sanitation and Waste Management,Other Water Supply, Sanitation and Waste Management"
Sao Tome and Principe Transport Sector Development and Coastal Protection Project,Request for Expression of Interest,Eastern And Southern Africa,14-Jun-2024,"Engineering and construction supervision for the design/construction of the Lemba and brigoma bridges in the district of Lemba, Sao Tome","Rural and Inter-Urban Roads,Public Administration - Transportation"
Nigeria For Women Project,Contract Award,Western And Central Africa,14-Jun-2024,"Phase 1- Construction of Groundnut Processing Site, drilling of borehole, and other works for (5No.) collectives in Zing L.G.A in Taraba State. Lot 1-5","Social Protection,Other Industry, Trade and Services,Other Agriculture, Fishing and Forestry,Other Public Administration"
Nigeria For Women Project,Contract Award,Western And Central Africa,14-Jun-2024,"Phase 1- Construction of Groundnut Processing Site, drilling of borehole, and other works for (5No.) collectives in Zing L.G.A in Taraba State. Lot 1-5","Social Protection,Other Industry, Trade and Services,Other Agriculture, Fishing and Forestry,Other Public Administration"
Sustainable and Inclusive Secondary Cities Project,Request for Expression of Interest,Western And Central Africa,14-Jun-2024,"Elaboration des études techniques détaillées d’aménagement des voiries et actualisation des études d’avant-projets détaillés (APD) des schémas directeurs d’assainissement et de drainage des villes de BOUNDIALI, FERKESSEDOUGOU ET KORHOGO.",Sub-National Government
Maputo Metropolitan Area Urban Mobility Project,Request for Expression of Interest,Eastern And Southern Africa,14-Jun-2024,"Design the transformation of bus Cooperatives into bus Companies, through developing a roadmap and a prospectus for the transition","Urban Transport,Public Administration - Transportation"
Northern Mozambique Rural Resilience Project,Request for Expression of Interest,Eastern And Southern Africa,14-Jun-2024,Provincial Gender Issues Assistant for Nampula,"Forestry,Sub-National Government,Agricultural Extension, Research, and Other Support Activities,Social Protection,Fisheries"
Pathways to Sustainable Livelihoods Project,Contract Award,Eastern And Southern Africa,14-Jun-2024,Tents for digital payments,"Social Protection,Public Administration - Social Protection"
Integrated Project for Source Sustainability and Climate Resilient Rain-fed Agriculture in Himachal,Contract Award,South Asia,14-Jun-2024,Construction of  secondary storage Tank for Gravity Scheme involving approx. 10 different locations under APO Chamba,"Forestry,Livestock,Irrigation and Drainage,Agricultural Extension, Research, and Other Support Activities,Public Administration - Agriculture, Fishing & Forestry,Public Administration - Water, Sanitation and Waste Management,Other Water Supply, Sanitation and Waste Management"
Mozambique Urban Sanitation Project,Request for Expression of Interest,Eastern And Southern Africa,14-Jun-2024,Feasibility Assessment and City-Wide Inclusive Sanitation Plan for Nampula City,"Sanitation,Public Administration - Water, Sanitation and Waste Management"
Integrated Project for Source Sustainability and Climate Resilient Rain-fed Agriculture in Himachal,Contract Award,South Asia,14-Jun-2024,Construction of  secondary storage Tank for Gravity Scheme involving approx. 10 different locations under APO Chamba,"Forestry,Livestock,Irrigation and Drainage,Agricultural Extension, Research, and Other Support Activities,Public Administration - Agriculture, Fishing & Forestry,Public Administration - Water, Sanitation and Waste Management,Other Water Supply, Sanitation and Waste Management"
Integrated Project for Source Sustainability and Climate Resilient Rain-fed Agriculture in Himachal,Contract Award,South Asia,14-Jun-2024,"Construction of secondary storage Tank for Gravity Scheme involving approx. 5 different locations UNDER DPO, CHAMBA to be executed through contractors on competitive basis.","Forestry,Livestock,Irrigation and Drainage,Agricultural Extension, Research, and Other Support Activities,Public Administration - Agriculture, Fishing & Forestry,Public Administration - Water, Sanitation and Waste Management,Other Water Supply, Sanitation and Waste Management"
Integrated Project for Source Sustainability and Climate Resilient Rain-fed Agriculture in Himachal,Contract Award,South Asia,14-Jun-2024,Construction of  secondary storage Tank for Gravity Scheme involving approx. 10 different locations under APO Chamba,"Forestry,Livestock,Irrigation and Drainage,Agricultural Extension, Research, and Other Support Activities,Public Administration - Agriculture, Fishing & Forestry,Public Administration - Water, Sanitation and Waste Management,Other Water Supply, Sanitation and Waste Management"
Nigeria For Women Project,Contract Award,Western And Central Africa,14-Jun-2024,"Phase 1- Construction of Groundnut Processing Site, drilling of borehole, and other works for (5No.) collectives in Zing L.G.A in Taraba State. Lot 1-5","Social Protection,Other Industry, Trade and Services,Other Agriculture, Fishing and Forestry,Other Public Administration"
Livestock Productivity and Resilience Support Project,Contract Award,Western And Central Africa,14-Jun-2024,PROCUREMENT OF PROJECT VEHICLES (2NO OF 4X4 HILUX AND 1NO OF 14 SEATER BUS),"Public Administration - Agriculture, Fishing & Forestry,Social Protection,Agricultural markets, commercialization and agri-business,Livestock"
Integrated Project for Source Sustainability and Climate Resilient Rain-fed Agriculture in Himachal,Contract Award,South Asia,14-Jun-2024,Construction of  secondary storage Tank for Gravity Scheme involving approx. 10 different locations under APO Chamba,"Forestry,Livestock,Irrigation and Drainage,Agricultural Extension, Research, and Other Support Activities,Public Administration - Agriculture, Fishing & Forestry,Public Administration - Water, Sanitation and Waste Management,Other Water Supply, Sanitation and Waste Management"
Integrated Project for Source Sustainability and Climate Resilient Rain-fed Agriculture in Himachal,Contract Award,South Asia,14-Jun-2024,Construction of  secondary storage Tank for Gravity Scheme involving approx. 10 different locations under APO Chamba,"Forestry,Livestock,Irrigation and Drainage,Agricultural Extension, Research, and Other Support Activities,Public Administration - Agriculture, Fishing & Forestry,Public Administration - Water, Sanitation and Waste Management,Other Water Supply, Sanitation and Waste Management"
Paraguay Public Health Sector Strengthening,Contract Award,Latin America And Caribbean,14-Jun-2024,CONSULTORIA INDIVIDUAL PARA SERVICIOS DE DISEÑO GRÁFICO Y ELABORACIÓN DE MATERIALES INSTITUCIONALES PARA DIRECCIÓN GENERAL DE COMUNICACIONES EN SALUD.,"Health Facilities and Construction,Public Administration - Health,Health"
Burkina Faso Digital Acceleration Project,Contract Award,Western And Central Africa,14-Jun-2024,"Recrutement d’un cabinet pour l’élaboration d’un avant-projet de loi d’orientation du numérique
 au Burkina Faso","ICT Infrastructure,ICT Services,Public Administration - Information and Communications Technologies"
Integrated Project for Source Sustainability and Climate Resilient Rain-fed Agriculture in Himachal,Contract Award,South Asia,14-Jun-2024,Construction of  secondary storage Tank for Gravity Scheme involving approx. 10 different locations under APO Chamba,"Forestry,Livestock,Irrigation and Drainage,Agricultural Extension, Research, and Other Support Activities,Public Administration - Agriculture, Fishing & Forestry,Public Administration - Water, Sanitation and Waste Management,Other Water Supply, Sanitation and Waste Management"
Access to Finance for MSMEs,Contract Award,Latin America And Caribbean,14-Jun-2024,Legal Counsel Under the ACCESS TO FINANCE FOR MSME’s Project (SME FUND),"Capital Markets,Public Administration - Financial Sector"
Accelerating Economic Diversification and Job Creation Project,Invitation for Bids,Eastern And Southern Africa,14-Jun-2024,Aquisição de equipamento técnico geodésico e de escritório para os escritórios do IGCA (Instituto Geográfico e Cadastral de Angola) nas 4 Províncias do corredor do Lobito,"ICT Services,Other Industry, Trade and Services,Trade,Banking Institutions"
Resilient Urban Sierra Leone Project,Contract Award,Western And Central Africa,14-Jun-2024,DEVELOPMENT OF CITIZEN ENGAGEMENT DIGITAL PLATFORMS FOR BENEFICIARY COUNCILS UNDER THE RESILIENT URBAN SIERRA LEONE PROJECT (RUSLP,"Sub-National Government,Other Public Administration,Waste Management"
Integrated Project for Source Sustainability and Climate Resilient Rain-fed Agriculture in Himachal,Contract Award,South Asia,14-Jun-2024,Construction of  secondary storage Tank for Gravity Scheme involving approx. 10 different locations under APO Chamba,"Forestry,Livestock,Irrigation and Drainage,Agricultural Extension, Research, and Other Support Activities,Public Administration - Agriculture, Fishing & Forestry,Public Administration - Water, Sanitation and Waste Management,Other Water Supply, Sanitation and Waste Management"
Saint Vincent and the Grenadines Volcanic Eruption Emergency Project,Invitation for Bids,Latin America And Caribbean,14-Jun-2024,"Heavy Equipment for the Roads, Buildings and General Services Authority (BRAGSA)","Other Public Administration,Social Protection"
Guinea Commercial Agriculture Development Project,Request for Expression of Interest,Western And Central Africa,14-Jun-2024,"Recrutement d’une firme pour réaliser l’EIES des travaux de construction/réhabilitation de 52 km de pistes rurales, dans la commune de tanene – prefecture de Dubreka","Rural and Inter-Urban Roads,Agricultural markets, commercialization and agri-business,Public Administration - Industry, Trade and Services"
Integrated Project for Source Sustainability and Climate Resilient Rain-fed Agriculture in Himachal,Contract Award,South Asia,14-Jun-2024,Construction of  secondary storage Tank for Gravity Scheme involving approx. 10 different locations under APO Chamba,"Forestry,Livestock,Irrigation and Drainage,Agricultural Extension, Research, and Other Support Activities,Public Administration - Agriculture, Fishing & Forestry,Public Administration - Water, Sanitation and Waste Management,Other Water Supply, Sanitation and Waste Management"
Integrated Project for Source Sustainability and Climate Resilient Rain-fed Agriculture in Himachal,Contract Award,South Asia,14-Jun-2024,Construction of  secondary storage Tank for Gravity Scheme involving approx. 10 different locations under APO Chamba,"Forestry,Livestock,Irrigation and Drainage,Agricultural Extension, Research, and Other Support Activities,Public Administration - Agriculture, Fishing & Forestry,Public Administration - Water, Sanitation and Waste Management,Other Water Supply, Sanitation and Waste Management"
Economic Transformation for Inclusive Growth Project,Request for Expression of Interest,Eastern And Southern Africa,14-Jun-2024,"Préincubations des projets de créations d'entreprise dans le cadre du programme MIARY Agribusiness et Tourisme en 5 lots: 1 Vatovavy, Fitovinany et Atsimo-Atsinanana; 2 Atsinana et Analanjorofo; 3 Diego et Nosy Be; 4 Tuléar et 5 Anosy.","Public Administration - Industry, Trade and Services,Tourism,Agricultural markets, commercialization and agri-business,Sub-National Government,Central Government (Central Agencies)"
Integrated Project for Source Sustainability and Climate Resilient Rain-fed Agriculture in Himachal,Contract Award,South Asia,14-Jun-2024,Construction of  secondary storage Tank for Gravity Scheme involving approx. 10 different locations under APO Chamba,"Forestry,Livestock,Irrigation and Drainage,Agricultural Extension, Research, and Other Support Activities,Public Administration - Agriculture, Fishing & Forestry,Public Administration - Water, Sanitation and Waste Management,Other Water Supply, Sanitation and Waste Management"
Integrated Project for Source Sustainability and Climate Resilient Rain-fed Agriculture in Himachal,Contract Award,South Asia,14-Jun-2024,Construction of  secondary storage Tank for Gravity Scheme involving approx. 10 different locations under APO Chamba,"Forestry,Livestock,Irrigation and Drainage,Agricultural Extension, Research, and Other Support Activities,Public Administration - Agriculture, Fishing & Forestry,Public Administration - Water, Sanitation and Waste Management,Other Water Supply, Sanitation and Waste Management"
Integrated Project for Source Sustainability and Climate Resilient Rain-fed Agriculture in Himachal,Contract Award,South Asia,14-Jun-2024,Construction of  secondary storage Tank for Gravity Scheme involving approx. 10 different locations under APO Chamba,"Forestry,Livestock,Irrigation and Drainage,Agricultural Extension, Research, and Other Support Activities,Public Administration - Agriculture, Fishing & Forestry,Public Administration - Water, Sanitation and Waste Management,Other Water Supply, Sanitation and Waste Management"
Integrated Project for Source Sustainability and Climate Resilient Rain-fed Agriculture in Himachal,Contract Award,South Asia,14-Jun-2024,Construction of  secondary storage Tank for Gravity Scheme involving approx. 10 different locations under APO Chamba,"Forestry,Livestock,Irrigation and Drainage,Agricultural Extension, Research, and Other Support Activities,Public Administration - Agriculture, Fishing & Forestry,Public Administration - Water, Sanitation and Waste Management,Other Water Supply, Sanitation and Waste Management"
Integrated Project for Source Sustainability and Climate Resilient Rain-fed Agriculture in Himachal,Contract Award,South Asia,14-Jun-2024,Construction of  secondary storage Tank for Gravity Scheme involving approx. 10 different locations under APO Chamba,"Forestry,Livestock,Irrigation and Drainage,Agricultural Extension, Research, and Other Support Activities,Public Administration - Agriculture, Fishing & Forestry,Public Administration - Water, Sanitation and Waste Management,Other Water Supply, Sanitation and Waste Management"
Integrated Project for Source Sustainability and Climate Resilient Rain-fed Agriculture in Himachal,Contract Award,South Asia,14-Jun-2024,Construction of  secondary storage Tank for Gravity Scheme involving approx. 10 different locations under APO Chamba,"Forestry,Livestock,Irrigation and Drainage,Agricultural Extension, Research, and Other Support Activities,Public Administration - Agriculture, Fishing & Forestry,Public Administration - Water, Sanitation and Waste Management,Other Water Supply, Sanitation and Waste Management"
Strengthening Entrepreneurship in Productive Forest Landscapes,Contract Award,Latin America And Caribbean,14-Jun-2024,"Consultor individual de apoyo para la capacitación y aseguramiento y control de calidad en el levantamiento de datos de campo del Inventario Nacional Forestal y de Suelos en Coahuila-Extensión, Etapa 2","Agricultural markets, commercialization and agri-business,Forestry"
Integrated Project for Source Sustainability and Climate Resilient Rain-fed Agriculture in Himachal,Contract Award,South Asia,14-Jun-2024,Construction of  secondary storage Tank for Gravity Scheme involving approx. 10 different locations under APO Chamba,"Forestry,Livestock,Irrigation and Drainage,Agricultural Extension, Research, and Other Support Activities,Public Administration - Agriculture, Fishing & Forestry,Public Administration - Water, Sanitation and Waste Management,Other Water Supply, Sanitation and Waste Management"
Second Water Sector Institutional Development Project,Contract Award,Eastern And Southern Africa,14-Jun-2024,"Supply and installation of technical equipment to 24 Hydrometric stations, including adaptation and rehabilitation works","Water Supply,Sanitation,Public Administration - Water, Sanitation and Waste Management"
Paraguay Public Health Sector Strengthening,Contract Award,Latin America And Caribbean,14-Jun-2024,Contratacion de Especialista Senior Medio Ambiental,"Health Facilities and Construction,Public Administration - Health,Health"
Regional Disease Surveillance Systems Enhancement Project (REDISSE) Phase IV,Contract Award,Western And Central Africa,14-Jun-2024,"Procurement of 180 motorcycles to support municipal supervisors for Surveillance in the areas of Human, Animal and Environmental health and 2 vehicles for waste transport","Health Facilities and Construction,Public Administration - Health,Health,ICT Infrastructure"
Ghana Productive Safety Net Project 2,Invitation for Bids,Western And Central Africa,14-Jun-2024,Procurement of 50no. Motorbikes for 25no. MMDAs for LIPW works supervision,"Social Protection,Public Administration - Social Protection,Agricultural Extension, Research, and Other Support Activities"
Angola Strengthening Statistical Capacity,Contract Award,Eastern And Southern Africa,14-Jun-2024,Consultor Técnico Principal do Censo,"Public Administration - Agriculture, Fishing & Forestry,ICT Services,Central Government (Central Agencies)"
"Niger, Improving Women’s and Girls’ Access to Improved Health and Nutrition Services in the Prio",Contract Award,Western And Central Africa,14-Jun-2024,Acquisition de 16 véhicules et de 10 incinérateurs par entente Directe avec l'UNOPS,"Health,Public Administration - Health"
Harmonizing and Improving Statistics in West and Central Africa - Series of Projects 1 (HISWACA - SO,Contract Award,Western And Central Africa,14-Jun-2024,Location de véhicules 4x4 destinés au recensement nomade,"Other Public Administration,ICT Services"
AFR RI-Regional Great Lakes Integrated Agriculture Development Project,Contract Award,Eastern And Southern Africa,14-Jun-2024,Contractualisation avec l'Association pour le Développement Social et la Sauvegarde de l'Environnement(ADSSE/Kalemie)  pour la mise en œuvre du plan d'actions en Faveur des Populations Autochtones  dans 70 campements dans la Province du Tanganyika,"Other Agriculture, Fishing and Forestry,Agricultural markets, commercialization and agri-business,Rural and Inter-Urban Roads,Public Administration - Agriculture, Fishing & Forestry,Public Administration - Industry, Trade and Services,Other Agriculture, Fishing and Forestry,Agricultural markets, commercialization and agri-business,Rural and Inter-Urban Roads,Public Administration - Agriculture, Fishing & Forestry,Public Administration - Industry, Trade and Services"
Ghana Productive Safety Net Project 2,Invitation for Bids,Western And Central Africa,14-Jun-2024,"Procurement of 108no. Laptops, 108no Scanners, 88no. Printers and 7no. Desktop Computers for the MMDAs and ZCOs towards effective PI-CLASS and LIPW documentation processing in line with the digitization agenda.","Social Protection,Public Administration - Social Protection,Agricultural Extension, Research, and Other Support Activities"
Harmonizing and Improving Statistics in West and Central Africa - Series of Projects 1 (HISWACA - SO,Contract Award,Western And Central Africa,14-Jun-2024,"Recrutement d’un Consultant d’appui pour la révision de la méthodologie de l’enquête Maraichère 
en Mauritanie 2024","Other Public Administration,ICT Services"
Water Supply and Sanitation Access Program (PASEA) Project,Request for Expression of Interest,Eastern And Southern Africa,14-Jun-2024,"Recrutement de l’Entité de Gestion du Volet des Subsides aux Etudiants et Apprenants (EG-VSEA) pour la formation et l’éducation sur l’eau et la formation du personnel de l’INPP, IBTP et de l’UNIKIN","Water Supply,Other Water Supply, Sanitation and Waste Management,Sanitation,Public Administration - Water, Sanitation and Waste Management"
Rural and Small Towns Water Security Project,Contract Award,Eastern And Southern Africa,14-Jun-2024,Individual Consultant for the Preparation of a Project Operations Manual for FIPAG,"Water Supply,Sanitation,Public Administration - Water, Sanitation and Waste Management"
"Niger, Improving Women’s and Girls’ Access to Improved Health and Nutrition Services in the Prio",Contract Award,Western And Central Africa,14-Jun-2024,"Achat et livraison des moustiquaires imprégnées d'insecticide, des équipements des chaines de froid, des produits pharmaceutiques et des médicaments par entente directe auprès de l'UNICEF","Health,Public Administration - Health"
Judicial Services and Smart Infrastructure Project,Contract Award,Europe And Central Asia,14-Jun-2024,Preparation of the Implementation Completion and Results (ICR) Report by International Consultant,"Law and Justice,Other Information and Communications Technologies,Law and Justice,Public Administration - Information and Communications Technologies,Other Public Administration"
Harmonizing and Improving Statistics in West and Central Africa - Series of Projects 1 (HISWACA - SO,Contract Award,Western And Central Africa,14-Jun-2024,Location de véhicules,"Other Public Administration,ICT Services"
Strengthening Entrepreneurship in Productive Forest Landscapes,Contract Award,Latin America And Caribbean,14-Jun-2024,Consultoría individual especialista en Género del proyecto “Fortalecimiento Empresarial en Paisajes Productivos Forestales” Especialista 2,"Agricultural markets, commercialization and agri-business,Forestry"
Ghana Productive Safety Net Project 2,Invitation for Bids,Western And Central Africa,14-Jun-2024,Procurement of 5no. 4x4 Pickups.,"Social Protection,Public Administration - Social Protection,Agricultural Extension, Research, and Other Support Activities"
Paraguay Public Health Sector Strengthening,Contract Award,Latin America And Caribbean,14-Jun-2024,Contratación de Consultoria Individual Asistente de Gerencia del Proyecto (3CV),"Health Facilities and Construction,Public Administration - Health,Health"
Salado Integrated River Basin Management Support Project,Invitation for Bids,Latin America And Caribbean,14-Jun-2024,Adquisición de Bienes Informáticos e Insumos para la Subsecretaría de Planificación y Seguimiento (MHyDU),"Irrigation and Drainage,Other Water Supply, Sanitation and Waste Management,Public Administration - Water, Sanitation and Waste Management"
Nigeria Rural Access and Agricultural Marketing Project,Contract Award,Western And Central Africa,14-Jun-2024,Consultancy Services for the Supervision of 80km rural road upgrading,"Rural and Inter-Urban Roads,Agricultural markets, commercialization and agri-business,Public Administration - Transportation"
Uganda Digital Acceleration Project - GovNet,Invitation for Bids,Eastern And Southern Africa,14-Jun-2024,"Extension of the National Backbone Infrastructure (NBI) to 20 major towns, updates to metro network (1,500km) and refugee hosting communities (1,000 km)","Public Administration - Information and Communications Technologies,ICT Infrastructure,ICT Services,Other Information and Communications Technologies"
Burkina Faso Livestock Resilience and Competitiveness  Project,Contract Award,Western And Central Africa,14-Jun-2024,Recrutement d’un Consultant individuel pour la formation du personnel du suivi-évaluation en Kobotool Box et QGIS (cartographie),"Agricultural Extension, Research, and Other Support Activities,Public Administration - Agriculture, Fishing & Forestry,Livestock,Agricultural markets, commercialization and agri-business"
Burkina Faso Livestock Resilience and Competitiveness  Project,Contract Award,Western And Central Africa,14-Jun-2024,Recrutement d’un Consultant individuel pour la formation du personnel du suivi-évaluation en Analyse avancée des données avec Excel et en Analyse et visualisation des données avec Power BI,"Agricultural Extension, Research, and Other Support Activities,Public Administration - Agriculture, Fishing & Forestry,Livestock,Agricultural markets, commercialization and agri-business"
Paraguay Public Health Sector Strengthening,Contract Award,Latin America And Caribbean,14-Jun-2024,Contratacion de Especialista Senior Administrativo,"Health Facilities and Construction,Public Administration - Health,Health"
Bamako Urban Resilience Project,Request for Expression of Interest,Western And Central Africa,14-Jun-2024,"	Recrutement d’un consultant pour la réalisation des études techniques, EIES et Evaluation Sociale contrôle et surveillance des travaux d’aménagement issus du programme d’investissements de Niamakoro en Commune VI du District de Bamako","Irrigation and Drainage,Waste Management,Sub-National Government,Water Supply,Sanitation"
Bamako Urban Resilience Project,Request for Expression of Interest,Western And Central Africa,14-Jun-2024,"	Recrutement d’un consultant pour la réalisation des études techniques, EIES et Evaluation Sociale/ contrôle et surveillance des travaux d’aménagement issus du programme d’investissements de Daoudabougou en Commune V du District de Bamako","Irrigation and Drainage,Waste Management,Sub-National Government,Water Supply,Sanitation"
Community Livelihood Enhancement And Resilience,Contract Award,East Asia And Pacific,14-Jun-2024,Micro-Finance Officer,"Sub-National Government,Social Protection,Crops,Irrigation and Drainage"
Paraguay Public Health Sector Strengthening,Contract Award,Latin America And Caribbean,14-Jun-2024,Contratacion de Especialista Senior Administrativo,"Health Facilities and Construction,Public Administration - Health,Health"
Burkina Faso Livestock Resilience and Competitiveness  Project,Contract Award,Western And Central Africa,14-Jun-2024,Recrutement d'un Consultant individuel pour la réalisation de l’étude diagnostique sur les Centres de Collecte de Lait (CCL),"Agricultural Extension, Research, and Other Support Activities,Public Administration - Agriculture, Fishing & Forestry,Livestock,Agricultural markets, commercialization and agri-business"
Baghdad Water Supply and Sewerage Improvement Project,Contract Award,Middle East And North Africa,14-Jun-2024,Rehabilitation of Al-Khadraa Sewerage Pumping Station,"Sanitation,Water Supply,Public Administration - Water, Sanitation and Waste Management"
"One WASH—Consolidated Water Supply, Sanitation, and Hygiene Account Project (One WASH—CWA)",Contract Award,Eastern And Southern Africa,14-Jun-2024,"Drilling and Construction of 4 Shallow wells fitted  with hand pumps  (2 for the Jikawo community and health post,   2 for the Makuey community implemented by the Regional  Water and Energy Bureau","Water Supply,Sanitation,Other Water Supply, Sanitation and Waste Management,Public Administration - Water, Sanitation and Waste Management"
